CL01RT_taxonomic_profile	CL01RT
CL02RT_taxonomic_profile	CL02RT
CL03RT_taxonomic_profile	CL03RT
CL04RT_taxonomic_profile	CL04RT
CL06RT_taxonomic_profile	CL06RT
CL08RT_N_taxonomic_profile	CL08RT
CL09RT_taxonomic_profile	CL09RT
CL10RT_taxonomic_profile	CL10RT
CL11RT_taxonomic_profile	CL11RT
CL13RT_taxonomic_profile	CL13RT
CL14RT_taxonomic_profile	CL14RT
CL15RT_taxonomic_profile	CL15RT
CL16RT_taxonomic_profile	CL16RT
CL18RT_taxonomic_profile	CL18RT
CL19RT_taxonomic_profile	CL19RT
CL20RT_taxonomic_profile	CL20RT
CL22RT_taxonomic_profile	CL22RT
CL23RT_N_taxonomic_profile	CL23RT
CL24RT_taxonomic_profile	CL24RT
CL25RT_taxonomic_profile	CL25RT
CL26RT_taxonomic_profile	CL26RT
CL27RT_N_taxonomic_profile	CL27RT
CL28RT_N_taxonomic_profile	CL28RT
CL29RT_taxonomic_profile	CL29RT
CL30RT_taxonomic_profile	CL30RT
CL33RT_taxonomic_profile	CL33RT
CL35RT_taxonomic_profile	CL35RT
CL36RT_taxonomic_profile	CL36RT
CL38RT_taxonomic_profile	CL38RT
CL39RT_taxonomic_profile	CL39RT
CL40RT_taxonomic_profile	CL40RT
CL41RT_taxonomic_profile	CL41RT
CL42RT_taxonomic_profile	CL42RT
CL44RT_taxonomic_profile	CL44RT
CL45RT_taxonomic_profile	CL45RT
CL46RT_taxonomic_profile	CL46RT
CL47RT_taxonomic_profile	CL47RT
CL49RT_taxonomic_profile	CL49RT
CL50RT_taxonomic_profile	CL50RT
CL52RT_taxonomic_profile	CL52RT
CL53RT_taxonomic_profile	CL53RT
CL55RT_taxonomic_profile	CL55RT
CL56RT_taxonomic_profile	CL56RT
CL57RT_taxonomic_profile	CL57RT
CL58RT_taxonomic_profile	CL58RT
CL59RT_taxonomic_profile	CL59RT
CL60RT_taxonomic_profile	CL60RT
CL61RT_taxonomic_profile	CL61RT
CL62RT_taxonomic_profile	CL62RT
CL63RT_taxonomic_profile	CL63RT
CL64RT_taxonomic_profile	CL64RT
CL65RT_taxonomic_profile	CL65RT
CL67RT_taxonomic_profile	CL67RT
CL68RT_taxonomic_profile	CL68RT
CL69RT_taxonomic_profile	CL69RT
CL72RT_taxonomic_profile	CL72RT
CL74RT_taxonomic_profile	CL74RT
CL76RT_taxonomic_profile	CL76RT
CL77RT_taxonomic_profile	CL77RT
CL78RT_taxonomic_profile	CL78RT
