# taxonomy 	CL01RT_taxonomic_profile	CL02RT_taxonomic_profile	CL03RT_taxonomic_profile	CL04RT_taxonomic_profile	CL06RT_taxonomic_profile	CL08RT_N_taxonomic_profile	CL09RT_taxonomic_profile	CL10RT_taxonomic_profile	CL11RT_taxonomic_profile	CL13RT_taxonomic_profile	CL14RT_taxonomic_profile	CL15RT_taxonomic_profile	CL16RT_taxonomic_profile	CL18RT_taxonomic_profile	CL19RT_taxonomic_profile	CL20RT_taxonomic_profile	CL22RT_taxonomic_profile	CL23RT_N_taxonomic_profile	CL24RT_taxonomic_profile	CL25RT_taxonomic_profile	CL26RT_taxonomic_profile	CL27RT_N_taxonomic_profile	CL28RT_N_taxonomic_profile	CL29RT_taxonomic_profile	CL30RT_taxonomic_profile	CL33RT_taxonomic_profile	CL35RT_taxonomic_profile	CL36RT_taxonomic_profile	CL38RT_taxonomic_profile	CL39RT_taxonomic_profile	CL40RT_taxonomic_profile	CL41RT_taxonomic_profile	CL42RT_taxonomic_profile	CL44RT_taxonomic_profile	CL45RT_taxonomic_profile	CL46RT_taxonomic_profile	CL47RT_taxonomic_profile	CL49RT_taxonomic_profile	CL50RT_taxonomic_profile	CL52RT_taxonomic_profile	CL53RT_taxonomic_profile	CL55RT_taxonomic_profile	CL56RT_taxonomic_profile	CL57RT_taxonomic_profile	CL58RT_taxonomic_profile	CL59RT_taxonomic_profile	CL60RT_taxonomic_profile	CL61RT_taxonomic_profile	CL62RT_taxonomic_profile	CL63RT_taxonomic_profile	CL64RT_taxonomic_profile	CL65RT_taxonomic_profile	CL67RT_taxonomic_profile	CL68RT_taxonomic_profile	CL69RT_taxonomic_profile	CL72RT_taxonomic_profile	CL74RT_taxonomic_profile	CL76RT_taxonomic_profile	CL77RT_taxonomic_profile	CL78RT_taxonomic_profile
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0	0	0	0	0	0.05102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06812	0.00673	0	0.1202	0.02069	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Ohtaekwangia	0	0	0	0	0	0	0	0	0	0	0.13499	0	0	0	0	0	0	0	1.16081	0	0	0	0	0	0	0	0.03851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97104	0	0	0	0.09929	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07352	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	1.07159	4.13996	3.93292	0.03582	2.28772	0.59729	1.10834	8.04296	3.37019	1.47218	2.70268	6.69001	1.29476	6.32094	0	4.72103	0.01936	2.11421	2.48982	3.58348	4.64532	3.7598	2.40982	0.88355	4.87305	0	2.02319	5.38025	2.2831	2.77879	3.38807	0.03905	2.14153	4.02681	3.58628	2.6467	0.2692	0.76856	7.19306	6.62065	1.41169	5.58584	0.11465	1.9663	1.82425	1.19911	4.01192	7.86147	0	0.83308	1.11298	3.28609	0.13331	0.71091	0.94909	1.60452	0.34339	1.98122	7.22656	1.89557
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0.31274	0.22699	0.54822	0	0.46496	0.01537	0.6657	0.20836	1.15093	0.50392	0	0.5828	0.22815	0.06934	0	0.01637	0	0.07282	0	0	0.20878	0.77658	0	0	0	0	1.9847	0.20089	0.27712	0.54766	0.11818	0.14454	0.04536	0.23811	1.75274	0.41248	0.26205	0.09454	0.07095	0.0749	0	0.13554	0	0.10096	0.19581	0.10917	0	0.2126	0	0	0.6705	0	0.29262	0.18622	0.10714	0.01847	0.65889	0.02803	1.41715	0.05972
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	0.96125	0	1.01162	0	0	0	0	0.04918	0.1394	0	0.40909	0.17658	0.64067	0.15141	0.33782	0	0	0.04704	0.12361	0	0.11513	0.62509	0	0.26945	0.14286	0.4777	0	0.1493	0	0.09314	0.13889	0.13338	0.00902	0	0.07047	0.35973	0.08093	0.62122	0	0.21802	0.0656	0.08845	0.01747	0.28012	0.01337	0.0579	0	0.01494	0.01188	0	0.42479	0	0.12876	0.2561	0.09828	0.10436	0.14805	0	0.02561	0.37639
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41688	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21877	0.03898
